index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
0	891f02b358bffff	h3place				11.43858	53.99578	9.0		53.99578107554948	11.438577996810137
1	891f02869b3ffff	h3place				11.37942	53.99359	9.0		53.99359359113968	11.379421095316937
2	891f02b8cdbffff	h3place				11.46052	53.84348	9.0		53.84347678603369	11.460517185534835
3	891f02b1a77ffff	h3place				11.53252	53.89237	9.0		53.89236543574834	11.532518905716515
4	891f02b1a6bffff	h3place				11.52792	53.8872	9.0		53.88719811844825	11.527922599989044
5	891f02a101bffff	h3place				11.58452	53.81684	9.0		53.81683917121652	11.584521165142158
6	891f02b1a2bffff	h3place				11.53764	53.89276	9.0		53.89275717962679	11.537635162431139
7	891f02b8533ffff	h3place				11.43339	53.85583	9.0		53.855832745928446	11.433389025380963
8	891f02bac37ffff	h3place				11.47061	53.89242	9.0		53.89242251435491	11.470613122829885
9	891f02bae67ffff	h3place				11.44767	53.86657	9.0		53.866572217759355	11.447670789712076
10	891f02a019bffff	h3place				11.68503	53.86542	9.0		53.86541651181876	11.685026086802855
11	891f02a312fffff	h3place				11.61799	53.86517	9.0		53.86516743088628	11.617992134472782
12	891f02a1c03ffff	h3place				11.66121	53.82266	9.0		53.82265607393557	11.661212700138128
13	891f02a1047ffff	h3place				11.58504	53.81206	9.0		53.81205703553747	11.585036176907902
14	891f02ba573ffff	h3place				11.40026	53.89901	9.0		53.89901164677117	11.400260228775426
15	891f02aa08bffff	h3place				11.5161	53.78267	9.0		53.78267186709975	11.516096408180276
16	891f02b058bffff	h3place				11.53006	53.986	9.0		53.98599703279118	11.53006027249161
17	891f02b113bffff	h3place				11.49535	53.92562	9.0		53.925615125713044	11.495351300168721
18	891f02a308fffff	h3place				11.5658	53.87083	9.0		53.8708306230293	11.56580418661266
19	891f02b1347ffff	h3place				11.46675	53.90416	9.0		53.90415984490146	11.466745284274852
20	891f02b85a7ffff	h3place				11.43797	53.86101	9.0		53.86100504441141	11.437973630586132
21	891f02b133bffff	h3place				11.47927	53.90753	9.0		53.90753245692832	11.479272457748399
22	891f02a349bffff	h3place				11.53815	53.88798	9.0		53.887981737133195	11.538154204964068
23	891f02b197bffff	h3place				11.57702	53.91021	9.0		53.910208472062884	11.577022588459826
24	891f02ba5cbffff	h3place				11.38439	53.90259	9.0		53.902591021383785	11.384391341426015
25	891f0284e93ffff	h3place				11.31823	53.94073	9.0		53.94072961734714	11.318232011694972
26	891f02b126fffff	h3place				11.4417	53.89741	9.0		53.897410666161164	11.44169684274594
27	891f02b8297ffff	h3place				11.39005	53.82838	9.0		53.828375053560336	11.390048353383651
28	891f02a0697ffff	h3place				11.62081	53.86297	9.0		53.86297215107554	11.62080669409912
29	891f02b1a0fffff	h3place				11.5297	53.89456	9.0		53.89455702995619	11.529701013518137
30	891f02b8da3ffff	h3place				11.52415	53.85078	9.0		53.85078274612	11.524149410675184
31	891f02b854bffff	h3place				11.41119	53.84688	9.0		53.84688409547528	11.411185187331016
32	891f02b1a23ffff	h3place				11.53993	53.89534	9.0		53.89534055817683	11.539933896600756
33	891f02bb40fffff	h3place				11.29896	53.85979	9.0		53.859794746041125	11.29896411091582
34	891f02bae63ffff	h3place				11.44256	53.86618	9.0		53.86617682600466	11.44255906602018
35	891f02ba10bffff	h3place				11.41718	53.88588	9.0		53.88588231253253	11.417184117106963
36	891f02b1a73ffff	h3place				11.5274	53.89197	9.0		53.89197347997695	11.52740281822469
37	891f02baa47ffff	h3place				11.45436	53.85264	9.0		53.852637333628785	11.45435748520044
38	891f02bb513ffff	h3place				11.32908	53.86697	9.0		53.866974206633735	11.329076439918039
39	891f02b8e8bffff	h3place				11.45698	53.82875	9.0		53.82874614949197	11.456980604045095
40	891f02b1e13ffff	h3place				11.50433	53.91427	9.0		53.91427372384664	11.504332706443842
41	891f02b907bffff	h3place				11.33761	53.79054	9.0		53.790535100454925	11.337611187598137
42	891f02b19afffff	h3place				11.59135	53.92093	9.0		53.92092599127203	11.591349119091232
43	891f02b18cbffff	h3place				11.52762	53.91365	9.0		53.913653907752135	11.527621703424291
44	891f02b0bd3ffff	h3place				11.6149	53.94196	9.0		53.94196359481747	11.614896690959064
45	891f02a111bffff	h3place				11.62031	53.81956	9.0		53.81955965794401	11.620305857518476
46	891f02a044bffff	h3place				11.62592	53.86336	9.0		53.863360094793	11.625922957382375
47	891f02b13d7ffff	h3place				11.46058	53.91331	9.0		53.91331093307016	11.460580452271433
48	891f02a3547ffff	h3place				11.57782	53.87897	9.0		53.87897169876977	11.577819082761929
49	891f02b0203ffff	h3place				11.5035	53.94549	9.0		53.94548714319002	11.50349994041279
50	89754e64993ffff	h3place				-0.00104	0.00059	9.0		0.000585770141507859	-0.0010418183700592666
51	891f02bb433ffff	h3place				11.30636	53.86278	9.0		53.862783914119866	11.306357290220271
52	891f02a02bbffff	h3place				11.64613	53.84321	9.0		53.84320698565355	11.646130445021125
53	891f02b8543ffff	h3place				11.41348	53.84947	9.0		53.84947095239492	11.413475954956507
54	891f02a24d3ffff	h3place				11.59877	53.9239	9.0		53.92389687208095	11.598771952597462
55	891f02badc7ffff	h3place				11.48314	53.8958	9.0		53.895795101882484	11.48313838926789
56	891f02b9887ffff	h3place				11.4323	53.7955	9.0		53.795500297451966	11.432303838786316
57	891f02b0d43ffff	h3place				11.61745	53.96621	9.0		53.966209474180616	11.617450821532916
58	891f02ba173ffff	h3place				11.42	53.88369	9.0		53.88369349458123	11.420004200826687
59	891f02b9077ffff	h3place				11.345	53.79352	9.0		53.793524466099164	11.344999335662477
60	891f02b1a3bffff	h3place				11.53482	53.89495	9.0		53.894948900022555	11.534817370458113
61	891f02bb5cfffff	h3place				11.32168	53.86399	9.0		53.86398643581711	11.321681013301312
62	891f0216d2fffff	h3place				11.39464	53.76363	9.0		53.76363443356787	11.394635645262642
63	891f02ba10fffff	h3place				11.4223	53.88628	9.0		53.88627883993704	11.4222967330963
64	891f02bae3bffff	h3place				11.44715	53.87135	9.0		53.87134809059321	11.447145331849807
65	891f02b919bffff	h3place				11.36664	53.80727	9.0		53.80726932830467	11.366638500079299
66	891f02baec3ffff	h3place				11.42617	53.87454	9.0		53.87454041339345	11.42617097345483
67	891f02baa7bffff	h3place				11.45718	53.85045	9.0		53.850446090133865	11.457175249695075
68	891f02b1107ffff	h3place				11.49253	53.9278	9.0		53.92780429448245	11.492531082089535
69	891f02bae6bffff	h3place				11.44027	53.86359	9.0		53.863590999826435	11.440266244514103
70	891f028e9d7ffff	h3place				11.24964	53.86313	9.0		53.86313212985869	11.24964383868362
71	891f02b1a4bffff	h3place				11.51487	53.88861	9.0		53.88860508195706	11.514873702756423
72	891f028e917ffff	h3place				11.26268	53.86175	9.0		53.86175341116978	11.26267909846724
73	891f02b0887ffff	h3place				11.61284	53.96105	9.0		53.961050113664484	11.612840699237479
74	891f02ba5cfffff	h3place				11.3895	53.90299	9.0		53.90298898145748	11.38950440639867
75	891f02b91dbffff	h3place				11.35696	53.80169	9.0		53.801692317605905	11.356960652019888
76	891f02b1bbbffff	h3place				11.5673	53.90465	9.0		53.90465339953389	11.567302374875915
77	891f02bb51bffff	h3place				11.32679	53.86439	9.0		53.864386854279495	11.326789265416888
78	891f02a1c13ffff	h3place				11.6584	53.82485	9.0		53.824854159895764	11.658400852086018
79	891f02bac33ffff	h3place				11.4655	53.89203	9.0		53.89202797660149	11.465498702460932
80	891f02b850bffff	h3place				11.42088	53.85245	9.0		53.85245413244516	11.420876794076749
81	891f02bae2bffff	h3place				11.44996	53.86916	9.0		53.86915782935785	11.44996408843305
82	891f02a0563ffff	h3place				11.67709	53.86723	9.0		53.867227865067825	11.677094801282243
83	891f02ba437ffff	h3place				11.37928	53.90219	9.0		53.902192849863034	11.379278447906286
84	891f02b8053ffff	h3place				11.39463	53.83355	9.0		53.833550615290946	11.394626653867533
85	891f02842a7ffff	h3place				11.26764	53.93194	9.0		53.93194121796036	11.267637410132627
86	891f02b184bffff	h3place				11.53096	53.90669	9.0		53.90668931720397	11.530960208324672
87	891f02ba50bffff	h3place				11.39744	53.9012	9.0		53.90119927351533	11.397439016383183
88	891f02b0d57ffff	h3place				11.61976	53.96879	9.0		53.96878895936638	11.619756195501033
89	891f02a364bffff	h3place				11.51852	53.85517	9.0		53.85516877054952	11.518516757034416
90	891f02a3517ffff	h3place				11.58472	53.88672	9.0		53.88672133709909	11.58472042826189
91	891f02aacd3ffff	h3place				11.57739	53.78736	9.0		53.78736184849116	11.577391835111746
92	891f02b086bffff	h3place				11.61208	53.94416	9.0		53.94415540934294	11.612078500804877
93	891f02b91d3ffff	h3place				11.35925	53.80428	9.0		53.80428162186485	11.359247088055906
94	891f02a319bffff	h3place				11.59368	53.87536	9.0		53.87536324327635	11.593683673826918
95	891f02a3127ffff	h3place				11.62029	53.86775	9.0		53.86775073671297	11.620293878255882
96	891f02b80d7ffff	h3place				11.39639	53.84092	9.0		53.840915774906854	11.396387215388632
97	891f02b8093ffff	h3place				11.40097	53.84609	9.0		53.84609021646739	11.400967049977758
98	891f02a124bffff	h3place				11.56155	53.79098	9.0		53.79097607668339	11.561549230304644
99	891f02b8507ffff	h3place				11.42828	53.85544	9.0		53.85543680161769	11.42827855052189
100	891f02bb5cbffff	h3place				11.31657	53.86359	9.0		53.86358580629042	11.316572933348382
101	891f02b9073ffff	h3place				11.3399	53.79313	9.0		53.7931250893445	11.339896256763222
102	891f02b1e8bffff	h3place				11.50151	53.91646	9.0		53.916463617069454	11.50151319706512
103	891f02a1017ffff	h3place				11.59193	53.81981	9.0		53.81981395920263	11.591931363529119
104	891f02baca3ffff	h3place				11.46497	53.8968	9.0		53.89680207597231	11.464974333095359
